Banana,,Food
ANCOBON FLUCYTOSINE,31,Drug
AQUASOL A,26,Drug
Avocado,,Food
Balsam of Peru,,Food
Buckwheat,,Food
Cat,,Pet
Celery,,Food
Cephalosporins,8,Drug
Chromium,,Environmental
CLARINEX,17,Drug
Cobalt,,Environmental
Cold stimuli,,Environmental
CORTISONE ACETATE,56,Drug
Cosmetics,,Environmental
CYANOCOBALAMIN,55,Drug
DARVOCET,16,Drug
DICUMAROL,24,Drug
Dilantin,5,Drug
DIMERCAPROL,52,Drug
Dog,,Pet
DOXEPIN HYDROCHLORIDE,41,Drug
Egg,,Food
ESTRADIOL,23,Drug
ETHCHLORVYNOL,30,Drug
FENTANYL,18,Drug
Fish,,Food
FOLIC ACID,10,Drug
FOLVITE FOLIC ACID,51,Drug
Formaldehyde,,Environmental
Fungicide,,Mold
Garlic,,Food
GENOTROPIN,34,Drug
Gold,,Environmental
HEPARIN SODIUM,25,Drug
HEXYLCAINE HYDROCHLORIDE,48,Drug
Hot peppers,,Food
House dust mite,,Environmental
HYDROCORTISONE,49,Drug
Insect sting,,Insect
Intravenous contrast dye,6,Drug
IOPANOIC,28,Drug
IPRIVASK,43,Drug
Kiwi,,Food
Latex,,Latex
LINDANE,54,Drug
Local anesthetics,4,Drug
MACRODANTIN,39,Drug
Maize,,Food
Mango,,Food
MANNITOL,50,Drug
MEPROBAMATE,38,Drug
METHERGINE,53,Drug
Milk,,Food
Mold,,Mold
NESACAINE-MPF,29,Drug
NEURONTIN,20,Drug
Nickel,,Environmental
Non-steroidal anti-inflammatories,9,Drug
NORPRAMIN,36,Drug
Oats,,Food
ORTHO-NOVUM,37,Drug
OXISTAT OXICONAZOLE NITRATE,42,Drug
PANHEPRIN,22,Drug
Peanut,,Food
Penicillin,7,Drug
Perfume,,Environmental
PHENYLBUTAZONE,11,Drug
Photographic developers,,Environmental
Pollen,,Pollen
Poultry Meat,,Food
PROMAZINE HYDROCHLORIDE,47,Drug
Red Meat,,Food
Rice,,Food
Semen,,Environmental
Sesame,,Food
Shellfish,,Food
Soy,,Food
STRATTERA,21,Drug
Strawberries,,Food
Sulfites,,Food
Sulfonamides,3,Drug
Tartrazine,,Food
TegretolÂ ,2,Drug
TERFONYL,27,Drug
Tetracycline,1,Drug
THALIDOMIDE,19,Drug
THYROLAR-1,15,Drug
THYROLAR-2,13,Drug
THYROLAR-3,14,Drug
Tomatoes,,Food
Tree nut,,Food
TRIGLIDE,44,Drug
VALIUM DIAZEPAM,46,Drug
VIVELLE ESTRADIOL,35,Drug
Wheat,,Food
XYLOCAINE,12,Drug
ZIAC,45,Drug
ZOMIG-ZMT,33,Drug